Transaction_ID,Vendor_Name,Award_Amount,Award_Agency,Award_Date,Award_Type,Performance_Country,Performance_State,Log_Award_Amount,Award_Agency_Code,Award_Type_Code,Performance_Country_Code,Performance_State_Code
TRX00001,"Little, Chandler and Johnson",1384004.16,Department of Agriculture,2022-09-05,Indefinite Delivery Contract,USA,GA,14.140492143476502,0,2,2,2
TRX00002,"Bryant, Castillo and Weaver",2800693.04,Department of Energy,2022-08-03,Time-and-Materials Contract,USA,GA,14.845377815858956,3,3,2,2
TRX00003,"Burns, Nichols and Hernandez",4332198.07,NASA,2021-01-27,Fixed-Price Contract,USA,PA,15.281585839417462,6,1,2,7
TRX00004,"Choi, Gilmore and Hanson",3363947.05,Department of Education,2021-11-07,Indefinite Delivery Contract,MEX,TX,15.028625857030644,2,2,1,8
TRX00005,Ferrell Group,640640.51,NASA,2024-02-02,Indefinite Delivery Contract,USA,NY,13.370225312684143,6,2,2,5
TRX00006,"Morris, Smith and Andrews",3692114.94,Department of Defense,2024-03-25,Time-and-Materials Contract,USA,NY,15.1217102771454,1,3,2,5
TRX00007,"Bradford, Johnson and Cooper",218874.28,Department of Health and Human Services,2021-01-30,Cost-Reimbursement Contract,MEX,MI,12.296257348856324,4,0,1,3
TRX00008,Hicks PLC,3651449.89,Department of Defense,2021-07-09,Fixed-Price Contract,CAN,PA,15.110635150684436,1,1,0,7
TRX00009,Wright-Medina,4762355.77,Department of Education,2022-11-16,Time-and-Materials Contract,MEX,TX,15.376253223424163,2,3,1,8
TRX00010,"Stephens, Sharp and Soto",4414689.84,NASA,2021-06-05,Fixed-Price Contract,CAN,PA,15.300448364653276,6,1,0,7
TRX00011,"Paul, Liu and Kim",2192727.01,Department of Defense,2024-02-29,Indefinite Delivery Contract,USA,MI,14.600656993260321,1,2,2,3
TRX00012,"Horn, Hunt and Hoffman",2912700.43,Department of Energy,2022-04-12,Fixed-Price Contract,CAN,NC,14.884591534979636,3,1,0,4
TRX00013,Simmons-Lewis,1856278.91,NASA,2024-03-30,Indefinite Delivery Contract,CAN,TX,14.434084994534645,6,2,0,8
TRX00014,Williams LLC,4457369.88,Department of Energy,2024-03-03,Time-and-Materials Contract,CAN,CA,15.31006966139018,3,3,0,0
TRX00015,Anderson-Haynes,2155958.04,Department of Health and Human Services,2022-09-22,Fixed-Price Contract,MEX,NC,14.583746212685845,4,1,1,4
TRX00016,Smith PLC,4297383.49,Department of Agriculture,2021-03-16,Fixed-Price Contract,CAN,FL,15.273517137460226,0,1,0,1
TRX00017,"Rowland, Holt and Williams",793297.39,Department of Defense,2023-08-17,Indefinite Delivery Contract,MEX,CA,13.583954709790998,1,2,1,0
TRX00018,"Hayes, Carlson and Mason",732016.76,Department of Transportation,2023-11-14,Cost-Reimbursement Contract,USA,PA,13.503560054944206,5,0,2,7
TRX00019,Owens LLC,4169779.81,NASA,2022-03-07,Fixed-Price Contract,CAN,TX,15.243374028844311,6,1,0,8
TRX00020,"Greer, Clark and Cortez",2409704.85,NASA,2021-12-03,Indefinite Delivery Contract,MEX,NY,14.69501524407574,6,2,1,5
TRX00021,Castillo LLC,4642271.97,Department of Defense,2021-03-22,Time-and-Materials Contract,USA,PA,15.350714668482267,1,3,2,7
TRX00022,Warren-Jackson,1620369.84,Department of Agriculture,2023-12-08,Time-and-Materials Contract,CAN,MI,14.298165594592097,0,3,0,3
TRX00023,"Montgomery, Allen and Woods",2290034.91,NASA,2021-10-19,Fixed-Price Contract,CAN,NY,14.64407805663018,6,1,0,5
TRX00024,Khan-Webb,237423.99,Department of Agriculture,2024-03-21,Time-and-Materials Contract,USA,NY,12.377607020992588,0,3,2,5
TRX00025,Carter LLC,419272.73,Department of Health and Human Services,2021-08-12,Fixed-Price Contract,CAN,NC,12.94627927915702,4,1,0,4
TRX00026,Cole-Hanson,2807611.31,Department of Agriculture,2023-11-24,Indefinite Delivery Contract,USA,MI,14.847844968356503,0,2,2,3
TRX00027,"Marquez, Strickland and York",3154101.39,Department of Energy,2023-05-06,Fixed-Price Contract,CAN,NY,14.964214509516555,3,1,0,5
TRX00028,Lopez-Brennan,3173261.46,Department of Transportation,2022-11-06,Fixed-Price Contract,MEX,NC,14.970270783816417,5,1,1,4
TRX00029,Lee-Flores,678519.71,Department of Education,2021-03-21,Time-and-Materials Contract,MEX,FL,13.427670281004207,2,3,1,1
TRX00030,Moore PLC,2929300.4,NASA,2021-04-14,Time-and-Materials Contract,MEX,CA,14.890274522530161,6,3,1,0
TRX00031,"Mckenzie, Clark and White",3464484.58,NASA,2023-06-24,Cost-Reimbursement Contract,MEX,PA,15.058074717824141,6,0,1,7
TRX00032,Griffith LLC,4256613.84,Department of Education,2023-06-29,Time-and-Materials Contract,CAN,VA,15.26398476385537,2,3,0,9
TRX00033,Cohen and Sons,2301001.67,Department of Transportation,2022-02-09,Fixed-Price Contract,MEX,TX,14.648855529381889,5,1,1,8
TRX00034,Wilkins-Esparza,1420322.51,NASA,2023-11-17,Cost-Reimbursement Contract,CAN,VA,14.166395227573172,6,0,0,9
TRX00035,"Payne, Mills and Mccoy",3760779.46,Department of Transportation,2021-10-30,Fixed-Price Contract,MEX,NC,15.140137062975517,5,1,1,4
TRX00036,"Harris, Ritter and Cardenas",630084.28,Department of Defense,2021-03-12,Time-and-Materials Contract,MEX,PA,13.353610454286056,1,3,1,7
TRX00037,"Lopez, Mckinney and Phillips",981292.29,Department of Education,2021-06-16,Indefinite Delivery Contract,USA,PA,13.796626664303073,2,2,2,7
TRX00038,Perry Ltd,4926943.34,Department of Agriculture,2023-01-29,Time-and-Materials Contract,MEX,NY,15.410229544527034,0,3,1,5
TRX00039,Wilson Inc,4248926.04,Department of Energy,2022-06-04,Indefinite Delivery Contract,USA,FL,15.262177047850441,3,2,2,1
TRX00040,Hall and Sons,2036626.89,Department of Defense,2022-03-05,Cost-Reimbursement Contract,USA,PA,14.52680600301855,1,0,2,7
TRX00041,"Harris, Gray and Cooper",3542141.22,Department of Transportation,2021-08-05,Fixed-Price Contract,USA,CA,15.080242248975066,5,1,2,0
TRX00042,Garner-Rodriguez,3698445.44,Department of Energy,2022-02-28,Time-and-Materials Contract,USA,VA,15.123423408358628,3,3,2,9
TRX00043,Johnson-Miller,417009.63,Department of Health and Human Services,2024-03-22,Time-and-Materials Contract,USA,VA,12.940866992062748,4,3,2,9
TRX00044,Martinez Ltd,822445.64,Department of Energy,2024-02-26,Time-and-Materials Contract,CAN,MI,13.620038884137227,3,3,0,3
TRX00045,Pearson-Chan,149179.18,Department of Defense,2023-07-02,Cost-Reimbursement Contract,USA,MI,11.912910116104484,1,0,2,3
TRX00046,White-Barber,4559718.67,Department of Agriculture,2022-09-24,Fixed-Price Contract,MEX,MI,15.332771703723656,0,1,1,3
