Transaction_ID,Vendor_Name,Award_Amount,Award_Agency,Award_Date,Award_Type,Performance_Country,Performance_State
TRX00001,"Little, Chandler and Johnson",1384004.16,Department of Agriculture,2022-09-05,Indefinite Delivery Contract,USA,GA
TRX00002,"Bryant, Castillo and Weaver",2800693.04,Department of Energy,2022-08-03,Time-and-Materials Contract,USA,GA
TRX00003,"Burns, Nichols and Hernandez",4332198.07,NASA,2021-01-27,Fixed-Price Contract,USA,PA
TRX00004,"Choi, Gilmore and Hanson",3363947.05,Department of Education,2021-11-07,Indefinite Delivery Contract,MEX,TX
TRX00005,Ferrell Group,640640.51,NASA,2024-02-02,Indefinite Delivery Contract,USA,NY
TRX00006,"Morris, Smith and Andrews",3692114.94,Department of Defense,2024-03-25,Time-and-Materials Contract,USA,NY
TRX00007,"Bradford, Johnson and Cooper",218874.28,Department of Health and Human Services,2021-01-30,Cost-Reimbursement Contract,MEX,MI
TRX00008,Hicks PLC,3651449.89,Department of Defense,2021-07-09,Fixed-Price Contract,CAN,PA
TRX00009,Wright-Medina,4762355.77,Department of Education,2022-11-16,Time-and-Materials Contract,MEX,TX
TRX00010,"Stephens, Sharp and Soto",4414689.84,NASA,2021-06-05,Fixed-Price Contract,CAN,PA
TRX00011,"Paul, Liu and Kim",2192727.01,Department of Defense,2024-02-29,Indefinite Delivery Contract,USA,MI
TRX00012,"Horn, Hunt and Hoffman",2912700.43,Department of Energy,2022-04-12,Fixed-Price Contract,CAN,NC
TRX00013,Simmons-Lewis,1856278.91,NASA,2024-03-30,Indefinite Delivery Contract,CAN,TX
TRX00014,Williams LLC,4457369.88,Department of Energy,2024-03-03,Time-and-Materials Contract,CAN,CA
TRX00015,Anderson-Haynes,2155958.04,Department of Health and Human Services,2022-09-22,Fixed-Price Contract,MEX,NC
TRX00016,Smith PLC,4297383.49,Department of Agriculture,2021-03-16,Fixed-Price Contract,CAN,FL
TRX00017,"Rowland, Holt and Williams",793297.39,Department of Defense,2023-08-17,Indefinite Delivery Contract,MEX,CA
TRX00018,"Hayes, Carlson and Mason",732016.76,Department of Transportation,2023-11-14,Cost-Reimbursement Contract,USA,PA
TRX00019,Owens LLC,4169779.81,NASA,2022-03-07,Fixed-Price Contract,CAN,TX
TRX00020,"Greer, Clark and Cortez",2409704.85,NASA,2021-12-03,Indefinite Delivery Contract,MEX,NY
TRX00021,Castillo LLC,4642271.97,Department of Defense,2021-03-22,Time-and-Materials Contract,USA,PA
